Input 					 MMPG without Bribe 	 MMPG with Bribe
randomgame-9-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.097884
randomgame-9-2.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6 Time: 0.11397
randomgame-9-3.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.126923
randomgame-9-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.102999
randomgame-9-5.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.5 Time: 0.160878
randomgame-9-6.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.125477
randomgame-9-7.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.120605
randomgame-9-8.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.097282
randomgame-9-9.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.076464
randomgame-9-10.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.233051
randomgame-9-11.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.246578
randomgame-9-12.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.09606
randomgame-9-13.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.102956
randomgame-9-14.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.080481
randomgame-9-15.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.078019
randomgame-9-16.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.07622
randomgame-9-17.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.128778
randomgame-9-18.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.221073
randomgame-9-19.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.25 Time: 0.120766
randomgame-9-20.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.058512
randomgame-9-21.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.583333 Time: 0.212164
randomgame-9-22.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6 Time: 0.157641
randomgame-9-23.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.174333
randomgame-9-24.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.063466
randomgame-9-25.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.136158
randomgame-9-26.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.183133
randomgame-9-27.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.071668
randomgame-9-28.pg 	 FinalAnswer : 0.4 	 FinalAnswer : 0.4 Time: 0.118103
randomgame-9-29.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.135118
randomgame-9-30.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.224223
randomgame-11-1.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6 Time: 0.149196
randomgame-11-2.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.5 Time: 0.335496
randomgame-11-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.314374
randomgame-11-4.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8 Time: 0.329874
randomgame-11-5.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.19224
randomgame-11-6.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.316792
randomgame-11-7.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.250633
randomgame-11-8.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.189536
randomgame-11-9.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.182074
randomgame-11-10.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.18617
randomgame-11-11.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.317883
randomgame-11-12.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.326181
randomgame-11-13.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.345736
randomgame-11-14.pg 	 FinalAnswer : 0.740741 	 FinalAnswer : 0.755556 Time: 0.428975
randomgame-11-15.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.583333 Time: 0.235315
randomgame-11-16.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.225092
randomgame-11-17.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.27497
randomgame-11-18.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.175891
randomgame-11-19.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.193771
randomgame-11-20.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.155845
randomgame-11-21.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.14166
randomgame-11-22.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.205277
randomgame-11-23.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.272867
randomgame-11-24.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.237781
randomgame-11-25.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.120433
randomgame-11-26.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.272872
randomgame-11-27.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.158159
randomgame-11-28.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.5 Time: 0.164565
randomgame-11-29.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.203554
randomgame-11-30.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.178365
randomgame-12-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.209021
randomgame-12-2.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.119496
randomgame-12-3.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.333333 Time: 0.327096
randomgame-12-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.389233
randomgame-12-5.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.2654
randomgame-12-6.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.392398
randomgame-12-7.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.144185
