Input 				 MMPG with Bribe 	 MMPG without Bribe
randomgame-multi-20-3-1.pg 	 FinalAnswer : 0.4 	 FinalAnswer : 0.4
randomgame-multi-20-3-2.pg 	 FinalAnswer : 0.7 	 FinalAnswer : 0.6
randomgame-multi-20-3-3.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25
randomgame-multi-20-3-4.pg 	 FinalAnswer : 0.6875 	 FinalAnswer : 0.6875
randomgame-multi-20-3-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-4-1.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-20-4-2.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0
randomgame-multi-20-4-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-4-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-4-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-5-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-20-5-2.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333
randomgame-multi-20-5-3.pg 	 FinalAnswer : 0.928571 	 FinalAnswer : 0.928571
randomgame-multi-20-5-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-5-5.pg 	 FinalAnswer : 0 	 FinalAnswer : 0
randomgame-multi-20-6-1.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-20-6-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-6-3.pg 	 FinalAnswer : 0.285714 	 FinalAnswer : 0.25
randomgame-multi-20-6-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-6-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-20-7-1.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-20-7-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-7-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-7-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-20-7-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
