Input 				 MMPG with Nash 	 MMPG without Bribe 	 MMPG with Bribe
tokens-3-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.008445
tokens-3-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.666667Time: 0.043823
tokens-3-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.155652
tokens-4-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.025007
tokens-4-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 0.140293
tokens-4-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.75Time: 0.463988
tokens-4-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 1.20303
tokens-5-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.071426
tokens-5-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 0.321653
tokens-5-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.466667Time: 0.939736
tokens-5-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.8Time: 2.70174
tokens-5-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 5.86175
tokens-6-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.184413
tokens-6-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 0.626453
tokens-6-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333Time: 2.15237
tokens-6-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.583333Time: 5.36932
tokens-6-5.pg 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2 	 FinalAnswer : 0.833333Time: 10.7944
tokens-6-6.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 26.16
tokens-7-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.383112
tokens-7-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 1.11244
tokens-7-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333Time: 4.18585
tokens-7-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.357143Time: 10.0919
tokens-7-5.pg 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2 	 FinalAnswer : 0.657143Time: 22.659
tokens-7-6.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.857143Time: 45.8409
tokens-7-7.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 71.5541
tokens-8-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 0.829503
tokens-8-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 2.0428
tokens-8-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333Time: 6.16934
tokens-8-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25Time: 19.5398
tokens-8-5.pg 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2 	 FinalAnswer : 0.475Time: 36.7175
tokens-8-6.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.708333Time: 79.2224
tokens-8-7.pg 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.875Time: 157.157
tokens-8-8.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 233.432
tokens-9-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 1.53014
tokens-9-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 3.69133
tokens-9-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333Time: 11.2705
tokens-9-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25Time: 29.3893
tokens-9-5.pg 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2 	 FinalAnswer : 0.288889Time: 59.2573
tokens-9-6.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.555556Time: 107.933
tokens-9-7.pg 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.746032Time: 188.199
tokens-9-8.pg 	 FinalAnswer : 0.125 	 FinalAnswer : 0.125 	 FinalAnswer : 0.888889Time: 343.305
tokens-9-9.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 694.705
tokens-10-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 	 FinalAnswer : 1Time: 2.78212
tokens-10-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5Time: 5.32411
tokens-10-3.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333Time: 15.0729
tokens-10-4.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25Time: 40.8614
tokens-10-5.pg 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2 	 FinalAnswer : 0.2Time: 84.9741
tokens-10-6.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.4Time: 189.476
tokens-10-7.pg 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.142857 	 FinalAnswer : 0.614286Time: 311.126
